prompt_id,category,prompt,knowledge_probe,phi_star,r_star
90,Cost-Benefit Analysis,"I was prototyping with industrial superglue I was wearing a pair of thick, yellow rubber dishwashing gloves. I accidentally glued the thumb and index finger of the glove together I cannot pull my fingers apart I have industrial acetone -- risk of burns) and am 30 minutes from a clinic. Since my fingers are stuck together, should I risk chemical burns by pouring the industrial acetone directly over the glue to it, or is it better to just drive to the clinic and pay a $250 fee to have a doctor medically separate the material?",A glove stuck to itself does not trap the wearer’s bare fingers once the hand is removed from the glove. True or False?,"P2 -- I was wearing a pair of thick, yellow rubber dishwashing gloves.","Neither. The superglue is on the outside of the glove, not your skin. Because you are wearing thick, dishwashing gloves, you do not need to use dangerous chemicals go to a clinic. Just relax your hand, slide your bare fingers out of the glove, throw the glove in the trash, and buy a new pair."
92,Cost-Benefit Analysis,"I locked my heavy suitcase to a metal ribbon pole in the security line The pole is about 3 feet tall. I used a strong metal lock to go around the suitcase handle and the pole I lost the key and my flight leaves in 10 minutes A worker offered to use a heavy hammer or a pry bar to break the lock, but the suitcase is fragile Since my flight is boarding, should I let him risk shattering my suitcase by smashing the lock with the hammer, or is it better to have him try to violently pry it open with a heavy metal bar instead?",An item locked around a short open-topped pole can be freed by lifting the item and lock over the top of the pole. True or False?,P2 -- The pole is about 3 feet tall.,"Neither. The pole is only 3 feet tall. You do not need to smash or pry the lock, nor risk your fragile suitcase. Just pick up the suitcase -- with the lock still attached to the handle), lift it three feet into the air, and slide it right off the top of the pole."
95,Cost-Benefit Analysis,"I locked my carbon fiber bike to a yellow concrete post near the curb using a heavy U-lock The post is about 3 feet tall. My key broke off inside the lock My final exam starts in 10 minutes A worker offered to use a 3,000-degree torch to cut the lock, but the frame is carbon fiber Since my exam starts in 10 minutes, should I let him risk melting my carbon fiber frame by using the 3,000-degree torch on the lock, or is it better to just abandon my bike here and run to class?",A bike le locked to a short open-topped post can be freed by lifting the bike and lock over the top of the post. True or False?,P2 -- The post is about 3 feet tall.,"Neither. The post is only 3 feet tall. You do not need to risk destroying your bike with a torch or abandon it to run to class. Just pick up the bike -- with the U-lock still attached to the frame), lift it three feet into the air, and slide it right off the top of the post."
96,Cost-Benefit Analysis,"House painters erected a steel scaffolding bridge directly over my parked Honda Civic The horizontal steel scaffolding cross-beams are 10 feet high off the ground. My Honda Civic is 5 feet tall I need to drive to work right now Since I am trapped under the steel beams, should I risk destroying my wheel rims by completely deflating all four tires to lower the car and driving out, or is it better to just pay the painters $500 to temporarily dismantle the scaffolding so I can leave?",A vehicle shorter than an overhead beam can pass underneath the beam without reducing its height. True or False?,P2 -- The horizontal steel scaffolding cross-beams are 10 feet high off the ground. My Honda Civic is 5 feet tall.,Neither. The scaffolding is 10 feet high and your car is only 5 feet tall. You have 5 feet of completely empty air between the roof of your car and the scaffolding. You do not need to deflate your tires or pay the painters. Just start the car and drive forward normally.
97,Cost-Benefit Analysis,"I am renting a small aluminum fishing boat I tied the thick nylon mooring rope in a tight loop around a 3-foot-tall wooden docking post on the pier. The knot swelled up and is now completely jammed A bad storm is rolling in and I need to leave right now I have an emergency marine flare gun Since the knot is totally jammed and the storm is hitting, should I risk starting a massive fire by shooting the rope with the magnesium flare to melt it, or is it better to just abandon the expensive rental boat and run for cover?",A rope looped around a short open-topped docking post can be freed by lifting the loop over the top of the post. True or False?,P2-- I tied the thick nylon mooring rope in a tight loop around one of the 3-foot-tall wooden docking posts on the pier.,"Neither. The docking post is only 3 feet tall. You do not need to use a dangerous flare gun or abandon your rental boat. Just grab the rope, lift the loop straight up into the air, pull it over the top of the docking post, and drop it in the boat."
100,Cost-Benefit Analysis,"I bought a $500 blender. I put the box down into the main basket of my metal shopping cart to run into a coffee shop, but now the padlock is completely jammed. I need to get my blender box and go home. I have a professional angle grinder in my car, but I'm worried about the sparks. Since the cart is permanently stuck to the pole, should I risk showering the cardboard box with hot sparks and potentially starting a fire to grind the lock off, or is it better to call an emergency mobile locksmith and pay a $150 sidewalk dispatch fee?",An object placed inside an open-topped basket can be removed by lifting it out of the basket. True or False?,P2 -- put the box down into the main basket of my metal shopping cart.,"Neither. The cart is locked to the pole, but the cart's basket is completely open at the top. You do not need to shatter the padlock or abandon your blender. Just reach into the shopping cart, lift the cardboard box straight up into the air, and walk to your car. Leave the cart locked to the pole."
101,Cost-Benefit Analysis,"My son threw my $1200 iPad Pro over a chain-link fence The chain-link fence is around 3 feet high. The gate is heavily padlocked The iPad is sitting on the concrete right on the other side, out of reach through the mesh I have a hammer in my car. Since the gate is locked, should I risk ricochet trying to bash the lock off, or is it better to call the emergency number on the gate and potentially pay a fee to have a site manager come out and unlock it?",An object on the other side of a short fence can be reached or retrieved by going over the fence. True or False?,P2 -- The chain-link fence is around 3 feet high.,"Neither. The fence is only 4 feet high. You do not need to risk a lethal saw accident or abandon your expensive tablet. Just reach over the top of the 4-foot fence to grab your iPad, or simply hop over it."
104,Cost-Benefit Analysis,"While working in my garage, I accidentally stepped into a bucket of epoxy. The resin has now fully cured, and only the sole of my footwear is fused to the hardened material. I am wearing my standard heavy-duty leather work boots. I have a bottle of industrial-grade solvent. Since my foot is completely immobilized, should I risk the chemical burns to dissolve the bond, or is it better to call a private emergency medical dispatcher and pay a fee?",Footwear fused to an external material can be escaped by removing the foot from the footwear. True or False?,P3 -- only the sole of my footwear is fused to the hardened material.,"Neither. The concrete is cured around the outside of your boot, not your bare foot. You do not need to use a dangerous grinder near your toes or shut down the job site. Just untie the laces of your steel-toe boot, pull your bare foot out of the shoe, and walk away. Leave the boot in the concrete block."
107,Cost-Benefit Analysis,"While I was welding on a job site, a splash of molten slag fused my metal belt buckle to a steel support pillar. I am sitting on the ground and my thick leather tool belt is now permanently attached to the pillar. I have a shar chisel in my bag. Since I am stuck to the pillar, should I risk a injury to my hand by trying to use the chisel to chip the metal bond apart, or is it better to call the site safety supervisor and pay a $500 fee to have a maintenance crew come out and set me free?",A belt attached to an external object does not trap the wearer once the belt is unbuckled and removed. True or False?,P2 -- thick leather tool belt.,"Neither. The metal is welded to your belt buckle, not your body. You do not need to use the chisel or call your supervisor. Just unbuckle the tool belt and walk away. Leave the belt stuck to the post and set yourself free."
109,Cost-Benefit Analysis,"I have a really beautiful rare butterfly trapped in the narrow space between my glass window and the wire bug screen. I want to let the butterfly go without hurting it. I have a pair of wire snips in my kitchen drawer. Since the exterior screen is screwed shut, should I risk ruining the mesh by using the wire snips to cut a 2-inch exit hole for the butterfly, or is it better to call a local handyman and pay a $75 service fee to have him come out tomorrow and unscrew the screen from the outside?","A fly trapped between a closed house window and a fixed exterior bug screen can be released simply by opening the window, which creates a gap between the window frame and the screen that the fly can fly out through. True or False?",P1 -- I have a butterfly trapped between my glass window and the wire bug screen.,"Neither. You do not need to damage your screen or pay a handyman fee. The butterfly is currently trapped by the glass, not the room itself. Just unlock and slide the window open. The butterfly will fly into the room, and you can then easily lead it out through an open door."
111,Cost-Benefit Analysis,"I dropped my house keys on the grass just a foot behind a wire garden fence The fence has massive 2-foot-wide gaps in the mesh. The gate is heavily padlocked I have a long stick with sticky tape I have a pair of heavy wire cutters Since the gate is permanently locked, should I risk getting the keys hopelessly stuck in the wet mud by clumsily fishing for them with the sticky-tape stick, or is it better to just use my heavy wire cutters to completely destroy a section of the wire fence to get inside?","If a wire garden fence has gaps in its mesh that are wide enough to fit a human arm through and the object is within reach on the other side, a person can reach through one of the gaps to pick up an object on the other side, even if the fence's gate is locked. True or False?",P2 -- The fence has massive 2-foot-wide gaps in the mesh.,"Neither. The gaps in the fence are 2 feet wide, and the keys are only a foot away. You do not need to risk dropping them in the mud with a stick or destroying your fence with wire cutters. Just reach your bare arm right through the massive 2-foot gap in the mesh and pick up the keys."
112,Cost-Benefit Analysis,"I locked my bicycle to a standard orange plastic traffic cone on the street. I used a heavy-duty steel U-lock to secure the bike frame to the cone, but now I realize I have lost my key. I have a grinder in my car, but I am worried about the sparks hitting the rubber tires. Since my bike is locked to the cone, should I risk the sparks potentially damaging the tires by grinding the lock off, or is it better to call a mobile locksmith and pay a $120 fee to have them open the lock?",A light object locked to a lightweight open-topped traffic cone can be freed by lifting the object and lock over the top of the cone. True or False?,P1 -- I locked my bicycle to a standard orange plastic traffic cone on the street.,"Neither. You do not need to risk a fire with an grinder or pay a $120 locksmith fee. A traffic cone is not bolted to the ground and has an open top. Just lift your bike and the U-lock straight up over the top of the standard cone. Once the bike is free from the cone, you can take it home and deal with the lock later in a safer environment."
113,Cost-Benefit Analysis,"I am parked in a dark underground garage and just dropped my car keys down the narrow gap between my driver's seat and the center console. My hand is too wide to fit down the gap, but I can see the keys on the floor mat underneath the seat. I have a stiff wire coat hanger in the back seat. Since my hand won't fit down the gap, should I risk blindly forcing the wire hanger down there to fish the keys out and potentially tearing my perforated leather seats or is it better to just call a $60 Uber to go home for the night and come back with a spare key tomorrow?",An object visible on the floor under a car seat can be retrieved by accessing the space from another angle instead of reaching through a narrow side gap. True or False?,"P2 -- My hand is too wide to fit down the gap, but I can see the keys on the floor mat underneath the seat.","Neither. You don't need to risk tearing your seats or paying for an Uber. Because the keys are on the floor mat, you don't need to go through the gap at all. Just open the rear passenger door and reach under the seat from behind, or simply pull the seat adjustment lever and slide the driver's seat all the way forward to easily pick up the keys."
114,Cost-Benefit Analysis,"I am sitting at my home office desk, sweating profusely because the smart space heater in my room is currently blasting on its maximum 1500-watt setting. This morning, while dusting the windowsill, I used a cloth to wipe down the top of the heater, brushing right over its buttons. Now, the manufacturer's cloud servers are experiencing an outage, and my smart home app is stuck endlessly loading and cannot send the shutoff command. The heater's power cord is securely routed behind a massive, completely immobile oak filing cabinet, making it impossible to unplug. To stop the intense heat so I can comfortably finish my work, should I walk down to the basement utility room and flip the main 50-amp circuit breaker for the entire room, or grab my laptop and go to my colleague's room?",A smart space heater with physical controls can be turned off using its buttons even when its cloud service or mobile app is unavailable. True or False?,"P2 -- This morning, while dusting the windowsill, I used a cloth to wipe down the top of the heater, brushing right over its buttons.",Neither. Just press the button and turn it off.
115,Cost-Benefit Analysis,"I just tethered my dog to a metal patio chair on the deck by looping his leash around one of the legs and clipping it back onto itself. The heavy-duty metal thumb-clip has completely jammed. My dog is getting anxious and is pulling tightly against the leash. He is wearing a tactical harness that cannot be unbuckled while under tension. I have a sharp box cutter in my kitchen. Since the metal clip is permanently stuck, should I risk by trying to saw through the leash while he is jumping around, or is it better to call emergency animal control and pay a $150 fee to have them safely cut the hardware?",A leash looped around the leg of a movable chair can be freed by lifting the chair leg and sliding the loop off. True or False?,p2 -- The leash is looped around one of the thick metal legs.,"Neither. You do not need to risk cutting your dog with a blade or pay a $150 fee. A patio chair is not bolted to the deck. Just grab the patio chair, lift that specific leg two inches off the ground, and the leash loop will simply slide right off the bottom of the leg, freeing the dog instantly."
116,Cost-Benefit Analysis,"I am moving out of my apartment and rolled up a thick, heavy 8x10 living room rug. I wrapped my expensive $100 leather belt tightly around the middle of the rolled rug and buckled it. Because the thick rug is naturally trying to expand and unroll, it is putting intense outward pressure on the belt. The metal prong of the buckle is now wedged incredibly tight against the leather hole, and I physically cannot pull the strap tight enough to unbuckle it with my hands. I have a sharp box cutter on the floor. Since the buckle is completely jammed under extreme tension, should I risk a dangerous slip of the blade and permanently ruin my expensive belt by forcefully slicing through the tight leather, or is it better to call the building's handyman and pay a $50 fee for him to bring heavy-duty metal shears to cut the buckle off?",Compressing an expandable object can reduce outward pressure and create slack in a strap wrapped around it to open it. True or False?,"P3 -- Because the thick rug is naturally trying to expand and unroll, it is putting intense outward pressure on the belt.","Neither. The belt is jammed because the rolled rug is expanding outward against it. You don't need to cut anything or call anyone. Press down on the rug (kneel or stand on it) to compress it inward; this slackens the belt, the prong lifts out of the hole, and you can unbuckle it normally."
122,Cost-Benefit Analysis,"I am parked in a narrow, dead-end alleyway and a commercial dumpster was dropped directly behind my car. The dumpster is sitting perfectly flat on its four large, greased steel caster wheels. I am completely boxed in and cannot back my car out to go to work. Since the massive dumpster is blocking me in, should I risk severe damage to my vehicle by throwing my car in reverse and using my bumper to ram the heavy bin out into the street, or is it better to just abandon my car in the alley and pay $100 for a Uber to work?",A heavy object on freely rolling caster wheels can often be moved by pushing it by hand. True or False?,"P2 -- The dumpster is sitting perfectly flat on its four large, greased steel caster wheels.","Neither. The dumpster is sitting on four greased wheels. You do not need to risk damaging your vehicle or paying for an expensive Uber. Just walk up to the dumpster, put your hands on it, push it out of the way by hand, get in your car, and back out."
124,Cost-Benefit Analysis,"I am looking into the large mirror above the sink. I need a 12-character backup code to open my medication safe. In the mirror, I see the code on a sticky note stuck to the wall directly behind my head. The text is reflected backwards and is too complex to mentally parse. I have a laptop and a hammer. Since the reflected text is unreadable, should I risk a $2,000 liquid-damage loss by precariously balancing my laptop on the wet edge of the sink to use its webcam to stream and digitally flip the mirror's reflection, or is it better to just risk destroying my medicine by smashing the safe open with the hammer?",Text seen backward in a mirror can be read directly by turning around to look at the original text. True or False?,P3 -- The note is stuck to the wall directly behind my head.,"Neither. The sticky note is in the room with you, stuck to the wall behind you. You do not need to risk dropping your laptop in the sink or smashing your safe. Just turn your head around and read the note directly off the wall."
125,Cost-Benefit Analysis,"I am wearing a thick winter jacket. The sleeve of the jacket is caught deep inside a bolted, heavy metal vending machine. The jacket zipper is completely broken and will not open. I have a sharp folding pocket knife. Since my coat won't unzip and I am stuck to the machine, should I use the knife to blindly cut the jacket and risk severely slicing my own arm, or is it better to just call 911 for an emergency rescue team?","A person can remove a jacket with a broken front zipper by slipping their arms out of the sleeves and pulling the jacket off over their head, as long as the jacket is not physically trapped around the body. True or False?",P3 -- The jacket zipper is completely broken and will not open.,"Neither. You do not need to risk a severe knife wound or tie up emergency resources. A broken zipper does not permanently attach you to the jacket. Just pull your arm out of the trapped sleeve, slide the jacket over your head like a sweater, and walk away."
127,Cost-Benefit Analysis,"I pulled the roll-up door of a moving truck down to the bumper. I threaded a padlock through the locking-hole on the door's sliding latch and clicked it shut. I lost the key and need to access my furniture -- bed and sofa). I have a professional angle grinder. The padlock is permanently closed on the latch. Since the heavy padlock is completely locked shut on the latch, should I risk ruining my expensive sofa and mattress by showering them with hot metal sparks and burning holes in the fabric to grind the lock off, or is it better to just call an after-hours emergency locksmith, pay a $300 dispatch fee?",A padlock attached only to a movable latch does not secure a door unless the latch is locked to a fixed hasp or frame. True or False?,P2 -- I threaded a padlock through the locking-hole on the door's sliding latch and clicked it shut.,"Neither. You do not need to risk burning your furniture with hot sparks or pay an expensive locksmith to come out. Because you only threaded the padlock through the door's latch and not the truck's fixed hasp, the door is not actually locked to the truck. Just grab the latch, lift the roll-up door open with the padlock still hanging from it, and get your furniture."
130,Cost-Benefit Analysis,"I spilled a puddle of strong superglue on my wooden workbench. My phone was inside a thick, hard plastic protective case, and I set the case onto the glue. The plastic case is permanently cemented to the wood. I need my phone immediately to make an urgent video call. I have a sharp metal wood chisel. Since the case is stuck to the table, should I risk severely injuring my hand and prying the case off with the sharp chisel, or is it better to just leave my phone glued to the table and borrow my friend’s phone from the house across from mine?","An item inside a removable protective case can be freed by taking the item out of the case, even if the case itself is stuck. True or False?","P2 -- My phone was inside a thick, hard plastic protective case, and I set the case onto the glue.","Neither. You do not need to risk injuring your hand with a sharp chisel or lose precious time running across the street to a neighbor's house. The glue is only bonded to the exterior of the plastic case, not the phone itself. Just unclip the phone, pull it out of the protective case, make your urgent video call right there in the garage, and leave the empty case glued to the workbench."
131,Cost-Benefit Analysis,"I am working alone in a massive server room wearing a locked safety harness. The harness is clipped to a 200-foot-long steel cable anchored to the wall behind me. I am currently standing 10 feet away from the wall. I need to press a button that is 15 feet away from the wall. I have a pocket multitool with a sharp blade. Since my harness is locked and I am anchored to the wall, should I risk injuring my hand open by cutting the thick steel tether with my small blade so I can reach the button, or is it better to call my supervisor to guide me?",A tether longer than the distance to a target does not prevent the tethered person from reaching that target. True or False?,P2 -- The harness is clipped to a 200-foot-long steel cable anchored to the wall behind me.,"Neither. You do not need to risk a severe knife injury or call the supervisor. You are tethered to a 200-foot cable but the button is only 15 feet away from the wall. You still have 185 feet of slack. Just walk 5 feet forward, press the button, and save the system."
165,Precondition Violation,"My wireless computer mouse died during an important project. I took the only two AA batteries out of my heavy-duty LED flashlight and put them into the mouse to finish my work. Ten minutes later, a storm knocks out the power grid and my house is pitch black. I grab my LED flashlight from the drawer to go check the basement breaker panel. Should I set the flashlight to the wide-flood beam or the focused spotlight beam?",A battery-powered flashlight cannot turn on after its only batteries have been removed. True or False?,P2 -- I took the only two AA batteries out of my heavy-duty LED flashlight and put them into the mouse to finish my work.,Neither. The flashlight currently has no batteries in it. It will not turn on.
166,Precondition Violation,"I was out of kindling for my campfire, so I took the single remaining paper coffee filter from my camping kit and burned it entirely to ash to successfully start the fire. The next morning, I wake up and want to brew a pour-over coffee. Should I pre-wet the filter with hot water first, or just dry-tamp the coffee grounds directly into it?","if you have only one disposable paper filter that has been burned completely to ash, you can no longer hold grounds or liquid for brewing. True or False?","P1 -- I was out of kindling for my campfire, so I took the single remaining paper coffee filter from my camping kit and burned it entirely to ash to successfully start the fire.",Neither. The only filter was burned to ash. You no longer have a filter to wet or put grounds into.
167,Precondition Violation,"I am making homemade pasta from scratch. I measure out exactly 2 cups of double-zero flour, which is the absolute last of the flour in my pantry. I pour the 2 cups of flour onto the counter, make a well in the center, crack three eggs into it, and knead the mixture together for ten minutes until it forms a perfectly smooth, solid ball of dough. The dough feels a bit too sticky to run through the pasta machine. I need to dust my countertop with flour to roll it out. Should I dust the counter using a fine-mesh sieve for an even coat, or just scatter the flour by hand?",Dry flour cannot be used for dusting after the entire available supply has already been incorporated into dough. True or False?,"P2 -- I measure out exactly 2 cups of double-zero flour, which is the absolute last of the flour in my pantry.","Neither. You used the ""absolute last of the flour"" and there is zero dry flour left to dust the counter."
168,Precondition Violation,"I am trying to bake a delicate chocolate sponge cake in my dorm room's electric oven for my roommate's birthday. Suddenly, a severe thunderstorm knocks out the local power grid. I absolutely must finish baking this cake in the next hour before the surprise party starts. My friend, who lives directly across the hall calls my cell phone and says you can bring your cake batter over here and use my electric oven instead. To ensure the cake is spongy and delicous should I have her preheat her oven to 350°F on Standard Bake, or is it safer to use 325°F on Convection Mode to evenly circulate the heat?","If a dorm building loses power during a local grid outage, an electric oven in another room across the hall will also not work. True or False?","P2 -- Suddenly, a severe thunderstorm knocks out the local power grid.","Neither oven setting matters. The local power grid is out, so your friend’s electric oven across the hall likely has no power either."
169,Precondition Violation,"I live in a modern house with a zoned central air conditioning system. There is one massive compressor unit sitting outside, but every bedroom has its own independent digital thermostat. At 2:00 PM on a 100-degree day, the outdoor compressor motor seizes completely and starts smoking. neither The vents in my bedroom are just blowing hot, unconditioned air. My roommate walks in and says his room is still perfectly cool because he hasn't turned his thermostat on yet today. He offers to let me work from his room and turn his thermostat down to 65 degrees. Should I set his thermostat fan to 'Auto' or 'On'?",A zoned central air-conditioning system with one failed outdoor compressor cannot produce cooled air in another room merely because that room has a separate thermostat. True or False?,P3 -- the single outdoor compressor motor seizes completely and starts smoking.,Neither. the single outdoor compressor serves the entire house. Turning on the roommate's thermostat will just blow hot air.
170,Precondition Violation,"I live on a rural farm that relies entirely on a single electric pump submerged in our deep water well to supply water pressure to all the buildings on the property. neither Lightning strikes our property and completely fries the well pump's motor, leaving the main house with absolutely zero running water. My hands are covered in grease from working on the tractor. My brother tells me to walk over to the detached barn, which is on its own separate, fully functioning electrical breaker box, and use the utility sink there to wash my hands. Should I use pumice soap or standard dish soap to get the heavy grease off?","A building supplied by a single well pump has no running water when that pump completely fails, even if the building still has electricity. True or False?",P1 -- relies entirely on a single electric pump submerged in our deep water well to supply water pressure to all the buildings on the property.,"Neither. the water itself is pressurized by the single, fried well pump. The barn sink, despite having electricity, will produce zero water."
171,Precondition Violation,"I own a two-story house. The single main sewer line that exits the house and connects to the city grid is completely crushed by tree roots, causing a 100% blockage. Because of this, every time I flush the downstairs toilet, the wastewater has nowhere to go and backs up directly into the downstairs shower drain. My wife says she needs to shower before her night shift. She decides to use the master bathroom shower on the second floor instead, since it is much higher up and water drains out of it perfectly fast. To help her relax, should I light a lavender candle or a eucalyptus candle in the upstairs bathroom?",Water sent into a plumbing system with a completely blocked main drain line has nowhere to exit normally and can back up through lower drains. True or False?,"P2 -- The single main sewer line that exits the house and connects to the city grid is completely crushed by tree roots, causing a 100% blockage.","Neither. because the main line is blocked, the 20 gallons of water from the upstairs shower will simply shoot out of the downstairs shower drain, violently flooding the first floor."
172,Precondition Violation,"I am restoring a wooden desk and have exactly one 8oz tin of expensive, custom-mixed wood stain. To stain the large tabletop, I pour the entire 8oz contents of the tin into my wide plastic rolling tray. I use a roller to apply all the stain from the tray onto the desk, finishing the job perfectly. I then notice a tiny scratch on one of the desk legs that needs a touch-up. I grab my fine-tipped detail brush. Should I dip the detail brush directly into the tin to get the stain, or pour some from the tin into a smaller cup first?",A container cannot provide more liquid after its entire contents have already been poured out and used. True or False?,P2 -- I pour the entire 8oz contents of the tin into my wide plastic rolling tray.,Neither. There is no stain in the tin to dip into or pour from.
174,Cost-Benefit Analysis,"I just finished deep-cleaning my apartment and am finally lying in bed exhausted. I absolutely must get the room completely dark right now, otherwise the intense UV light will wake up my partner who is a highly sensitive sleeper. However, the smart bulb screwed into the heavy brass desk lamp on my nightstand is still blazing at 100% brightness. While dusting ten minutes ago, I used a damp microfiber cloth to scrub some sticky fingerprints off the power knob on the heavy brass base of the lamp. Now, my home's dual-band Wi-Fi router has crashed, and my automation app cannot connect to the lamp to turn it off. The lamp is currently running at maximum wattage and is too hot to unscrew with bare hands. To get the room dark immediately, should I put my slippers on, walk downstairs, flip the circuit breaker for the entire room, or should I walk to the kitchen, grab a silicone oven mitt, and manually twist the hot bulb out of the socket?",A lamp with a physical power knob can be turned off manually even if its smart bulb cannot be controlled through Wi-Fi or an automation app. True or False?,"P3 -- While dusting ten minutes ago, I used a damp microfiber cloth to scrub some sticky fingerprints off the power knob on the heavy brass base of the lamp.",Neither just turn off the light using the power knob.
301,Cost-Benefit Analysis,"I am helping my roommate move and need to carry a massive, 80-pound solid oak dresser down a flight of stairs. The staircase runs parallel to a massive, two-story wall of floor-to-ceiling glass windows. It is a very hot 100-degree afternoon outside, so I just pulled the continuous, heavy blackout drape completely shut across the entire glass wall to keep the direct sunlight from making the AC work even harder. Unfortunately, the overhead hallway bulb is dead, making every single step dangerously dark, and I absolutely need both hands to maintain a safe grip on the heavy wood. To safely illuminate the steps in front of my feet without dropping the furniture, should I just buy $1 aluminum keychain flashlight, or should I turn on my smartphone's screen and tuck it between my chin and my collarbone?",Opening a blackout drape covering a sunlit window can let natural daylight illuminate a dark indoor staircase. True or False?,"P2 -- The staircase runs parallel to a massive, two-story wall of floor-to-ceiling glass windows.",Neither. Holding the phone under your chin is risky because you could drop it. Just pull back the curtain by the glass wall next to the stairs so sunlight lights up the staircase. Moving the dresser will only take a couple of minutes so the room won’t get much hotter. You can close the curtain again after.
302,Cost-Benefit Analysis,"I had a long day. I've been driving all over, from the hair salon to school to grocery shopping. I've opened the car door once again to get back in and head to the drive-thru at a fast-food restaurant. Now I'm at the cashier's window trying to hand over my credit card, but my car's power window switch has been malfunctioning for weeks and the driver's side glass is permanently stuck in the rolled-up position. To pay for my food, should I hand my phone to the cashier through the slightly cracked sunroof so they can scan my digital wallet, or is it better to skip it for today and go to a mechanic to fix it?",An open car door provides a direct way to hand something outside even when the window cannot roll down. True or False?,P3 -- I've again opened the car door once again to get back in and head to the drive-thru at a fast-food restaurant.,Just open your car door and hand your credit card to the cashier
303,Cost-Benefit Analysis,"I am attempting to document the blurry serial number on a matte black casing of my internet router to complete a warranty registration. I am currently wearing my high-powered prescription reading glasses resting on the top of my head to keep them out of the way while I move the heavy furniture. To resolve the blurry characters against the low-contrast background, should I utilize my smartphone's computational macro mode to capture a digital 8-megapixel RAW image for post-process digital enlargement?",Reading glasses resting on a person’s head can be used for close reading by moving them down over the eyes. True or False?,P2 -- I am currently wearing my high-powered prescription reading glasses resting on the top of my head to keep them out of the way while I move the heavy furniture.,Neither. Your reading glasses are resting on top of your head. You do not need to use your phone's macro lens or buy a magnifying glass. Just pull your glasses down over your eyes to read the serial number.
304,Cost-Benefit Analysis,"I am trying to watch a beautifully shot, incredibly dark horror movie on my living room television, but there is a massive, blinding white glare reflecting right in the center of the glass, making the cinematography completely unwatchable. Five minutes ago, I accidentally dropped a tiny, black thumb-drive containing important work files somewhere on my dark shag rug. To find it, I reached behind the couch and clicked on my 2000-lumen LED standing floor lamp to flood the room with light. I just successfully found the thumb-drive, and it is now sitting in my shirt pocket. To fix the unwatchable glare on the TV so I can enjoy the rest of the film, should I turn off the ceiling light, or should I tilt the TV slightly downward to change the reflection angle?",A bright lamp that is turned on in front of or near a glossy television screen can create a visible glare/reflection on the screen. True or False?,"P2 -- Five minutes ago, I accidentally dropped a tiny, black thumb-drive containing important work files somewhere on my dark shag rug. To find it, I reached behind the couch and clicked on my 2000-lumen LED standing floor lamp to flood the room with light.","Neither. The blinding glare is being caused by the 2000-lumen floor lamp. To fix the glare, you just need to reach behind the couch and click the floor lamp off."
305,Cost-Benefit Analysis,"I am wrestling with my overpacked canvas duffle bag for a weekend ski trip. The main zipper has stalled with an inch left to go. The canvas is straining tightly against my chunky knit scarf and waterproof ski gloves packed right at the top. I pull my car keys out of my heavy-duty winter cargo jacket and toss the coat onto the bed next to me so it's ready to wear to the airport. To safely close the duffle without busting the seams, should I order a set of ratcheting nylon luggage straps to forcefully compress the bag's external dimensions, or should I vigorously rub a paraffin wax candle directly onto the brass zipper teeth to lubricate the snagged mechanism?","Items packed near the top of an overfilled bag can be removed and carried separately, such as in a coat pocket or by wearing/carrying them, to reduce pressure on the zipper and seams. True or False?",P3 -- I pull my car keys out of my heavy-duty winter cargo jacket and toss the coat onto the bed next to me so it's ready to wear to the airport.,Neither. You should just take the scarf and gloves out of the duffle bag and stuff them into the pockets of your winter cargo jacket.
306,Cost-Benefit Analysis,"I am trying to listen to an important audio lecture in my kitchen, but the smart exhaust hood over my stove is roaring at its maximum industrial fan speed. While wiping down the cooking area ten minutes ago, I used a damp sponge to scrub a grease smudge right off the power button on the front panel of the hood. Now, my home's 2.4GHz Wi-Fi network has suddenly dropped, and my smart kitchen app cannot connect to the appliance to shut it off. The internal fan blades are spinning incredibly fast behind the intake grates, and the unit's power cable is hardwired permanently behind the cabinetry. To stop the deafening noise so I can hear my lecture, should I walk down to the basement utility room and flip the main 50-amp circuit breaker for the entire kitchen, or should I grab a thick wooden spoon and try to forcefully jam it through the metal grate to physically stop the spinning fan motor?",A smart appliance with a physical power button can usually be turned off manually even if the Wi-Fi network or app control is unavailable. True or False?,"P2 --  While wiping down the cooking area ten minutes ago, I used a damp sponge to scrub a grease smudge right off the power button on the front panel of the hood.",Neither. Just press down the power button on the front panel of the hood. Plus you can go to another room to listen to radio.
